console,console_common_name,game_title,category_1,category_2,multiplayer,core_name,console_dir,game_file,m3u,category_1_mgl,category_2_mgl,multiplayer_mgl,top_console_mgl,console_mgl,hash,download_url
NEOGEO,Neo Geo,The King of Fighters 2002,Fighting,,False,NeoGeo,NEOGEO,"King of Fighters 2002, The.neo",,_Waian's Picks/_Top Games by Category/_Fighting/The King of Fighters 2002 (Neo Geo).mgl,,,_Waian's Picks/_Top Games by Console/_Neo Geo/The King of Fighters 2002.mgl,_Waian's Picks/_All Games by Console/_Neo Geo/The King of Fighters 2002.mgl,8c22a03f982b45038d726695b1a1e37aa04c6ff6,
NEOGEO,Neo Geo,The King of Fighters 2003,Fighting,,False,NeoGeo,NEOGEO,"King of Fighters 2003, The.neo",,_Waian's Picks/_Top Games by Category/_Fighting/The King of Fighters 2003 (Neo Geo).mgl,,,_Waian's Picks/_Top Games by Console/_Neo Geo/The King of Fighters 2003.mgl,_Waian's Picks/_All Games by Console/_Neo Geo/The King of Fighters 2003.mgl,0fc3f9fe4fa10534c27bad4267e7aad4263e207e,
NEOGEO,Neo Geo,The King of Fighters '98: The Slugfest,Fighting,,False,NeoGeo,NEOGEO,"King of Fighters '98, The - The Slugfest.neo",,_Waian's Picks/_Top Games by Category/_Fighting/The King of Fighters '98 The Slugfest (Neo Geo).mgl,,,_Waian's Picks/_Top Games by Console/_Neo Geo/The King of Fighters '98 The Slugfest.mgl,_Waian's Picks/_All Games by Console/_Neo Geo/The King of Fighters '98 The Slugfest.mgl,503f13f065311284d45665147ba578e2b0e236be,
NEOGEO,Neo Geo,The Last Blade,Fighting,,False,NeoGeo,NEOGEO,The Last Blade.neo,,_Waian's Picks/_Top Games by Category/_Fighting/The Last Blade (Neo Geo).mgl,,,_Waian's Picks/_Top Games by Console/_Neo Geo/The Last Blade.mgl,_Waian's Picks/_All Games by Console/_Neo Geo/The Last Blade.mgl,139a7502395094077ca7ee3a76f74a414ba67ab3,
NEOGEO,Neo Geo,Top Hunter: Roddy & Cathy,Brawlers,,True,NeoGeo,NEOGEO,Top Hunter - Roddy & Cathy.neo,,_Waian's Picks/_Top Games by Category/_Brawlers/Top Hunter Roddy & Cathy (Neo Geo).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Top Hunter Roddy & Cathy.mgl,_Waian's Picks/_Top Games by Console/_Neo Geo/Top Hunter Roddy & Cathy.mgl,_Waian's Picks/_All Games by Console/_Neo Geo/Top Hunter Roddy & Cathy.mgl,f1880dbcffde539fd5b97c735afcac14c1c8a654,
NEOGEO,Neo Geo,Twinkle Star Sprites,Arcade Shooters,,False,NeoGeo,NEOGEO,Twinkle Star Sprites.neo,,_Waian's Picks/_Top Games by Category/_Arcade Shooters/Twinkle Star Sprites (Neo Geo).mgl,,,_Waian's Picks/_Top Games by Console/_Neo Geo/Twinkle Star Sprites.mgl,_Waian's Picks/_All Games by Console/_Neo Geo/Twinkle Star Sprites.mgl,ea2fcb7805e3130141705c946030e4db96de81b9,
NEOGEO,Neo Geo,Waku Waku 7,Pick-up-N-Play,,False,NeoGeo,NEOGEO,Waku Waku 7.neo,,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Waku Waku 7 (Neo Geo).mgl,,,_Waian's Picks/_Top Games by Console/_Neo Geo/Waku Waku 7.mgl,_Waian's Picks/_All Games by Console/_Neo Geo/Waku Waku 7.mgl,4fc08fc1e023e55e53842e4a167069901d858705,
NEOGEO,Neo Geo,World Heroes Perfect,2D Platformer,,False,NeoGeo,NEOGEO,World Heroes Perfect.neo,,_Waian's Picks/_Top Games by Category/_2D Platformer/World Heroes Perfect (Neo Geo).mgl,,,_Waian's Picks/_Top Games by Console/_Neo Geo/World Heroes Perfect.mgl,_Waian's Picks/_All Games by Console/_Neo Geo/World Heroes Perfect.mgl,1381bc226ce007a5c8c74959e3169792e42615ac,
NES,NES,Adventures of Lolo,Puzzle,,False,NES,NES,Adventures of Lolo (U) .nes,,_Waian's Picks/_Top Games by Category/_Puzzle/Adventures of Lolo (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Adventures of Lolo.mgl,_Waian's Picks/_All Games by Console/_NES/Adventures of Lolo.mgl,355e2a11e6e585dab55635766c43bc4c0e5d6968,
NES,NES,Balloon Fight,Pick-up-N-Play,,False,NES,NES,Balloon Fight (U) .nes,,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Balloon Fight (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Balloon Fight.mgl,_Waian's Picks/_All Games by Console/_NES/Balloon Fight.mgl,f5e4cd9f287a8233eee35ad1881b2770d9f2c453,
NES,NES,Baseball Stars,Sports,,False,NES,NES,Baseball Stars (U) .nes,,_Waian's Picks/_Top Games by Category/_Sports/Baseball Stars (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Baseball Stars.mgl,_Waian's Picks/_All Games by Console/_NES/Baseball Stars.mgl,ff1e9f9e214a678704c4725a77dcc03c71cbe4f0,
NES,NES,Batman,2D Action Scroller,,False,NES,NES,Batman (U) .nes,,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Batman (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Batman.mgl,_Waian's Picks/_All Games by Console/_NES/Batman.mgl,73b33e67e3c9e1116f9fcb021b10bb1171b8696a,
NES,NES,Battletoads,Brawlers,,True,NES,NES,Battletoads (U) .nes,,_Waian's Picks/_Top Games by Category/_Brawlers/Battletoads (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Battletoads.mgl,_Waian's Picks/_Top Games by Console/_NES/Battletoads.mgl,_Waian's Picks/_All Games by Console/_NES/Battletoads.mgl,5c3a497a82be60704dedf45248b6ad9b32c855ab,
NES,NES,Bionic Commando,Run n Gun,,False,NES,NES,Bionic Commando (U) .nes,,_Waian's Picks/_Top Games by Category/_Run n Gun/Bionic Commando (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Bionic Commando.mgl,_Waian's Picks/_All Games by Console/_NES/Bionic Commando.mgl,8f2f7d70ab38fa203651972c7bd4a0cca3638162,
NES,NES,Bomberman,Puzzle,,True,NES,NES,Bomberman (U) .nes,,_Waian's Picks/_Top Games by Category/_Puzzle/Bomberman (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Bomberman.mgl,_Waian's Picks/_Top Games by Console/_NES/Bomberman.mgl,_Waian's Picks/_All Games by Console/_NES/Bomberman.mgl,12531701e633d2196c9a15f944b101a8205248e4,
NES,NES,Bubble Bobble,2D Platformer,,False,NES,NES,Bubble Bobble (U) .nes,,_Waian's Picks/_Top Games by Category/_2D Platformer/Bubble Bobble (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Bubble Bobble.mgl,_Waian's Picks/_All Games by Console/_NES/Bubble Bobble.mgl,0e40052299ada46f6c2d1172323366f872f90570,
NES,NES,Castlevania,2D Action Scroller,,False,NES,NES,Castlevania (U).nes,,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Castlevania (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Castlevania.mgl,_Waian's Picks/_All Games by Console/_NES/Castlevania.mgl,a31b8bd5b370a9103343c866f3c2b2998e889341,
NES,NES,Castlevania II: Simon's Quest,2D Action Scroller,,False,NES,NES,Castlevania II - Simon s Quest (U) .nes,,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Castlevania II Simon's Quest (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Castlevania II Simon's Quest.mgl,_Waian's Picks/_All Games by Console/_NES/Castlevania II Simon's Quest.mgl,d6b96fd98ae480c694a103fe9a5d7d84eeafb6f7,
NES,NES,Castlevania III: Dracula's Curse,2D Action Scroller,,False,NES,NES,Castlevania III - Dracula's Curse (USA).nes,,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Castlevania III Dracula's Curse (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Castlevania III Dracula's Curse.mgl,_Waian's Picks/_All Games by Console/_NES/Castlevania III Dracula's Curse.mgl,0bb28dd9c2f8dfabb3349d1f65407b941ee78435,
NES,NES,Chip n Dale Rescue Rangers,Pick-up-N-Play,,False,NES,NES,Chip  n Dale Rescue Rangers (U) .nes,,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Chip n Dale Rescue Rangers (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Chip n Dale Rescue Rangers.mgl,_Waian's Picks/_All Games by Console/_NES/Chip n Dale Rescue Rangers.mgl,39a5fdb7efd4425a8769fd3073b00dd85f6cd574,
NES,NES,Chip n Dale Rescue Rangers 2,2D Platformer,,False,NES,NES,Chip  n Dale Rescue Rangers 2 (U) .nes,,_Waian's Picks/_Top Games by Category/_2D Platformer/Chip n Dale Rescue Rangers 2 (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Chip n Dale Rescue Rangers 2.mgl,_Waian's Picks/_All Games by Console/_NES/Chip n Dale Rescue Rangers 2.mgl,a60ba28aca558fe3527d46b0df33bdd038d4c635,
NES,NES,Contra,Run n Gun,,True,NES,NES,Contra (U) .nes,,_Waian's Picks/_Top Games by Category/_Run n Gun/Contra (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Contra.mgl,_Waian's Picks/_Top Games by Console/_NES/Contra.mgl,_Waian's Picks/_All Games by Console/_NES/Contra.mgl,c9ea66bb7cb30ad5343f1721b1d4d3219859319b,
NES,NES,Crystalis,Adventure RPG,,False,NES,NES,Crystalis (U) .nes,,_Waian's Picks/_Top Games by Category/_Adventure RPG/Crystalis (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Crystalis.mgl,_Waian's Picks/_All Games by Console/_NES/Crystalis.mgl,fd0dcde4f1708b30d5c3de1e463f1dde89c5cb64,
NES,NES,Double Dragon,Brawlers,,True,NES,NES,Double Dragon (U) .nes,,_Waian's Picks/_Top Games by Category/_Brawlers/Double Dragon (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Double Dragon.mgl,_Waian's Picks/_Top Games by Console/_NES/Double Dragon.mgl,_Waian's Picks/_All Games by Console/_NES/Double Dragon.mgl,84698b12f4e56a37c67bb47359758124c9b012bb,
NES,NES,Double Dragon II: The Revenge,Brawlers,,True,NES,NES,Double Dragon II - The Revenge (USA).nes,,_Waian's Picks/_Top Games by Category/_Brawlers/Double Dragon II The Revenge (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Double Dragon II The Revenge.mgl,_Waian's Picks/_Top Games by Console/_NES/Double Dragon II The Revenge.mgl,_Waian's Picks/_All Games by Console/_NES/Double Dragon II The Revenge.mgl,8b247787eeffd5c2bdce7810e5a628b40c7c2d24,
NES,NES,Double Dragon III: The Sacred Stones,Brawlers,,True,NES,NES,Double Dragon III - The Sacred Stones (USA).nes,,_Waian's Picks/_Top Games by Category/_Brawlers/Double Dragon III The Sacred Stones (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Double Dragon III The Sacred Stones.mgl,_Waian's Picks/_Top Games by Console/_NES/Double Dragon III The Sacred Stones.mgl,_Waian's Picks/_All Games by Console/_NES/Double Dragon III The Sacred Stones.mgl,c4eb74e7364e8baf70ed7370ea4bae5ac2eaeaa6,
NES,NES,Dr. Mario,Puzzle,,True,NES,NES,Dr. Mario (E) [!].nes,,_Waian's Picks/_Top Games by Category/_Puzzle/Dr. Mario (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Dr. Mario.mgl,_Waian's Picks/_Top Games by Console/_NES/Dr. Mario.mgl,_Waian's Picks/_All Games by Console/_NES/Dr. Mario.mgl,5911a6fe7a20a514f130fbca3b9ef5e8481fd9f2,
NES,NES,DuckTales,Pick-up-N-Play,,False,NES,NES,DuckTales (USA).nes,,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/DuckTales (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/DuckTales.mgl,_Waian's Picks/_All Games by Console/_NES/DuckTales.mgl,e2004d265e44e851f3c6053314af62a05fc4a595,
NES,NES,DuckTales 2,2D Platformer,,False,NES,NES,DuckTales 2 (USA).nes,,_Waian's Picks/_Top Games by Category/_2D Platformer/DuckTales 2 (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/DuckTales 2.mgl,_Waian's Picks/_All Games by Console/_NES/DuckTales 2.mgl,b27c4b68c0ee991c3debea493111b4fc6d3f1251,
NES,NES,Excitebike,Racing,,False,NES,NES,Excitebike (E).nes,,_Waian's Picks/_Top Games by Category/_Racing/Excitebike (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Excitebike.mgl,_Waian's Picks/_All Games by Console/_NES/Excitebike.mgl,406542b9f2bd1b88ed6f3cfc58b6d55bbbbae2da,
NES,NES,Faxanadu,Adventure RPG,,False,NES,NES,Faxanadu (USA) (Rev 1).nes,,_Waian's Picks/_Top Games by Category/_Adventure RPG/Faxanadu (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Faxanadu.mgl,_Waian's Picks/_All Games by Console/_NES/Faxanadu.mgl,bfb085472127eecbe5d89cd8f35bfdda2b4153be,
NES,NES,Final Fantasy,JRPG,,False,NES,NES,Final Fantasy (U) .nes,,_Waian's Picks/_Top Games by Category/_JRPG/Final Fantasy (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Final Fantasy.mgl,_Waian's Picks/_All Games by Console/_NES/Final Fantasy.mgl,80ce108fbc066c985d4fb541bd68e9a7c8994feb,
NES,NES,Gauntlet II,Action Adventure,,True,NES,NES,Gauntlet II (U) .nes,,_Waian's Picks/_Top Games by Category/_Action Adventure/Gauntlet II (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Gauntlet II.mgl,_Waian's Picks/_Top Games by Console/_NES/Gauntlet II.mgl,_Waian's Picks/_All Games by Console/_NES/Gauntlet II.mgl,b70634806b6503b181415af4bf92d5cce4eb2c22,
NES,NES,Gradius,Arcade Shooters,,False,NES,NES,Gradius (U) .nes,,_Waian's Picks/_Top Games by Category/_Arcade Shooters/Gradius (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Gradius.mgl,_Waian's Picks/_All Games by Console/_NES/Gradius.mgl,17d740e1e79350e1f0a6565908767e8585606a98,
NES,NES,Gun.Smoke,Run n Gun,,False,NES,NES,Gun.Smoke (U) .nes,,_Waian's Picks/_Top Games by Category/_Run n Gun/Gun.Smoke (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Gun.Smoke.mgl,_Waian's Picks/_All Games by Console/_NES/Gun.Smoke.mgl,612f2aa339bf1ae54b466f1574752cd753097503,
NES,NES,Jackal,Run n Gun,,False,NES,NES,Jackal (U) .nes,,_Waian's Picks/_Top Games by Category/_Run n Gun/Jackal (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Jackal.mgl,_Waian's Picks/_All Games by Console/_NES/Jackal.mgl,86c392a1d9a731fa48e148afbe60af75f918cb5a,
NES,NES,Kickle Cubicle,Puzzle,,False,NES,NES,Kickle Cubicle (U) .nes,,_Waian's Picks/_Top Games by Category/_Puzzle/Kickle Cubicle (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Kickle Cubicle.mgl,_Waian's Picks/_All Games by Console/_NES/Kickle Cubicle.mgl,36096c4dedfff0a3ef7d597896ec0f2d332a6a82,
NES,NES,Kirby's Adventure,2D Platformer,,False,NES,NES,Kirby's Adventure (USA) (Rev 1).nes,,_Waian's Picks/_Top Games by Category/_2D Platformer/Kirby's Adventure (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Kirby's Adventure.mgl,_Waian's Picks/_All Games by Console/_NES/Kirby's Adventure.mgl,5c2810bca7659f3aeb4a993b1c38f228b0fc1c0e,
NES,NES,Little Nemo: The Dream Master,2D Platformer,,False,NES,NES,Little Nemo - The Dream Master (U) .nes,,_Waian's Picks/_Top Games by Category/_2D Platformer/Little Nemo The Dream Master (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Little Nemo The Dream Master.mgl,_Waian's Picks/_All Games by Console/_NES/Little Nemo The Dream Master.mgl,1fc0ee2265a49974f99dffa92802c2331de86d93,
NES,NES,Mega Man 4,2D Action Scroller,,False,NES,NES,Mega Man 4 (USA) (Rev 1).nes,,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Mega Man 4 (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Mega Man 4.mgl,_Waian's Picks/_All Games by Console/_NES/Mega Man 4.mgl,05d238c2a3154f0a7fda2ea80496a26389ce747d,
NES,NES,Metroid,Action Adventure,,False,NES,NES,Metroid (USA).nes,,_Waian's Picks/_Top Games by Category/_Action Adventure/Metroid (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Metroid.mgl,_Waian's Picks/_All Games by Console/_NES/Metroid.mgl,2080059bea4563ffff7535e6c0a0f3bc2f34b194,
NES,NES,Ninja Gaiden,2D Action Scroller,,False,NES,NES,Ninja Gaiden (U) .nes,,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Ninja Gaiden (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Ninja Gaiden.mgl,_Waian's Picks/_All Games by Console/_NES/Ninja Gaiden.mgl,ca513f841d75efeb33bb8099fb02beeb39f6bb9c,
NES,NES,Ninja Gaiden II: The Dark Sword of Chaos,2D Action Scroller,,False,NES,NES,Ninja Gaiden II - The Dark Sword of Chaos (U) .nes,,_Waian's Picks/_Top Games by Category/_2D Action Scroller/Ninja Gaiden II The Dark Sword of Chaos (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Ninja Gaiden II The Dark Sword of Chaos.mgl,_Waian's Picks/_All Games by Console/_NES/Ninja Gaiden II The Dark Sword of Chaos.mgl,b1796660e4a4cefc72181d4bf4f97999bc048a77,
NES,NES,Ninja Gaiden III: The Ancient Ship of Doom,Run n Gun,,False,NES,NES,Ninja Gaiden III - The Ancient Ship of Doom (U) .nes,,_Waian's Picks/_Top Games by Category/_Run n Gun/Ninja Gaiden III The Ancient Ship of Doom (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Ninja Gaiden III The Ancient Ship of Doom.mgl,_Waian's Picks/_All Games by Console/_NES/Ninja Gaiden III The Ancient Ship of Doom.mgl,3f2e6dac76ba14efc177b5653ab043e53a04d365,
NES,NES,Mike Tyson's Punch-Out!!,Sports,,False,NES,NES,"Mike Tyson's Punch-Out!! (Japan, USA) (En) (Rev 1).nes",,_Waian's Picks/_Top Games by Category/_Sports/Mike Tyson's Punch-Out!! (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Mike Tyson's Punch-Out!!.mgl,_Waian's Picks/_All Games by Console/_NES/Mike Tyson's Punch-Out!!.mgl,61c3a89eef9dd09790d22a897ae876ceeec944a3,
NES,NES,R.B.I. Baseball,Sports,,False,NES,NES,R.B.I. Baseball (U) .nes,,_Waian's Picks/_Top Games by Category/_Sports/R.B.I. Baseball (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/R.B.I. Baseball.mgl,_Waian's Picks/_All Games by Console/_NES/R.B.I. Baseball.mgl,a69bc8ac50ececb005e36e94862795f69ba33545,
NES,NES,R.C. Pro-Am II,Action Adventure,,False,NES,NES,R.C. Pro-Am II (U) .nes,,_Waian's Picks/_Top Games by Category/_Action Adventure/R.C. Pro-Am II (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/R.C. Pro-Am II.mgl,_Waian's Picks/_All Games by Console/_NES/R.C. Pro-Am II.mgl,8c68582bdaa32fbc8c7cd858991d4e00d3b1569c,
NES,NES,Rampage,Pick-up-N-Play,,True,NES,NES,Rampage (USA).nes,,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Rampage (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Rampage.mgl,_Waian's Picks/_Top Games by Console/_NES/Rampage.mgl,_Waian's Picks/_All Games by Console/_NES/Rampage.mgl,f4bcdb31b2280469b4761067d4a30c0ddbb031f0,
NES,NES,River City Ransom,Brawlers,,True,NES,NES,River City Ransom (U) .nes,,_Waian's Picks/_Top Games by Category/_Brawlers/River City Ransom (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/River City Ransom.mgl,_Waian's Picks/_Top Games by Console/_NES/River City Ransom.mgl,_Waian's Picks/_All Games by Console/_NES/River City Ransom.mgl,a8612a36d9d2739d2b321b6ebb97c2757ccca410,
NES,NES,Shatterhand,Pick-up-N-Play,,False,NES,NES,Shatterhand (U) .nes,,_Waian's Picks/_Top Games by Category/_Pick-up-N-Play/Shatterhand (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Shatterhand.mgl,_Waian's Picks/_All Games by Console/_NES/Shatterhand.mgl,611131ddb450c9b46ad6bc53e0c6e26c7140e83e,
NES,NES,Solomon's Key,Puzzle,,False,NES,NES,Solomon's Key (USA).nes,,_Waian's Picks/_Top Games by Category/_Puzzle/Solomon's Key (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Solomon's Key.mgl,_Waian's Picks/_All Games by Console/_NES/Solomon's Key.mgl,5ef1aa6e8d9a811bf19149df6b23ee3469acb111,
NES,NES,Startropics,Action Adventure,,False,NES,NES,Startropics (U) .nes,,_Waian's Picks/_Top Games by Category/_Action Adventure/Startropics (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Startropics.mgl,_Waian's Picks/_All Games by Console/_NES/Startropics.mgl,fdd3d68c7b5b2f9dc7ec50d9888b0a8edbaaec28,
NES,NES,Super C,2D Platformer,,False,NES,NES,Super C (U) .nes,,_Waian's Picks/_Top Games by Category/_2D Platformer/Super C (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Super C.mgl,_Waian's Picks/_All Games by Console/_NES/Super C.mgl,32f706c6222e7ec877c08a1adc6b7c7bbb69f3da,
NES,NES,Super Dodge Ball,2D Platformer,,False,NES,NES,Super Dodge Ball (U) .nes,,_Waian's Picks/_Top Games by Category/_2D Platformer/Super Dodge Ball (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Super Dodge Ball.mgl,_Waian's Picks/_All Games by Console/_NES/Super Dodge Ball.mgl,42f954e9bd3256c011aba14c7e5b400abe35fde3,
NES,NES,Super Mario Bros.,2D Platformer,,False,NES,NES,Super Mario Bros. (World).nes,,_Waian's Picks/_Top Games by Category/_2D Platformer/Super Mario Bros. (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Super Mario Bros.mgl,_Waian's Picks/_All Games by Console/_NES/Super Mario Bros.mgl,33d23c2f2cfa4c9efec87f7bc1321ce3ce6c89bd,
NES,NES,Super Mario Bros. 2,2D Platformer,,False,NES,NES,Super Mario Bros. 2 (USA) (Rev 1).nes,,_Waian's Picks/_Top Games by Category/_2D Platformer/Super Mario Bros. 2 (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Super Mario Bros. 2.mgl,_Waian's Picks/_All Games by Console/_NES/Super Mario Bros. 2.mgl,0dde824764daba70217e6167d01f202fb1666cb0,
NES,NES,Super Mario Bros. 3,2D Platformer,,False,NES,NES,Super Mario Bros. 3 (USA) (Rev 1).nes,,_Waian's Picks/_Top Games by Category/_2D Platformer/Super Mario Bros. 3 (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Super Mario Bros. 3.mgl,_Waian's Picks/_All Games by Console/_NES/Super Mario Bros. 3.mgl,a25d2dcbf6ec3634a84318bfe2cfe28d5331d815,
NES,NES,Tecmo Super Bowl,Sports,,False,NES,NES,Tecmo Super Bowl (U) .nes,,_Waian's Picks/_Top Games by Category/_Sports/Tecmo Super Bowl (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Tecmo Super Bowl.mgl,_Waian's Picks/_All Games by Console/_NES/Tecmo Super Bowl.mgl,b7d7e496ca9dfa023d79dcc973208c1c63477125,
NES,NES,Teenage Mutant Ninja Turtles II: The Arcade Game,Brawlers,,True,NES,NES,Teenage Mutant Ninja Turtles II - The Arcade Game (USA) (The Cowabunga Collection).nes,,_Waian's Picks/_Top Games by Category/_Brawlers/Teenage Mutant Ninja Turtles II The Arcade Game (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Teenage Mutant Ninja Turtles II The Arcade Game.mgl,_Waian's Picks/_Top Games by Console/_NES/Teenage Mutant Ninja Turtles II The Arcade Game.mgl,_Waian's Picks/_All Games by Console/_NES/Teenage Mutant Ninja Turtles II The Arcade Game.mgl,c99359d6cdf9f908adac9d47223dd21855140e39,
NES,NES,Teenage Mutant Ninja Turtles III: The Manhattan Project,Brawlers,,True,NES,NES,Teenage Mutant Ninja Turtles III - The Manhattan Project (USA) (The Cowabunga Collection).nes,,_Waian's Picks/_Top Games by Category/_Brawlers/Teenage Mutant Ninja Turtles III The Manhattan Project (NES).mgl,,_Waian's Picks/_Top Games by Category/_Multiplayer/Teenage Mutant Ninja Turtles III The Manhattan Project.mgl,_Waian's Picks/_Top Games by Console/_NES/Teenage Mutant Ninja Turtles III The Manhattan Project.mgl,_Waian's Picks/_All Games by Console/_NES/Teenage Mutant Ninja Turtles III The Manhattan Project.mgl,0c3ab3ef0589b976f75790b2f8c9d3b6d3fa2543,
NES,NES,Tennis,Sports,,False,NES,NES,"Tennis (Japan, USA) (En).nes",,_Waian's Picks/_Top Games by Category/_Sports/Tennis (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Tennis.mgl,_Waian's Picks/_All Games by Console/_NES/Tennis.mgl,81f4d0bb5f0376afc14429893b4eae84f6ddcf89,
NES,NES,The Legend of Zelda,Action Adventure,,False,NES,NES,"Legend of Zelda, The (USA) (Rev 1).nes",,_Waian's Picks/_Top Games by Category/_Action Adventure/The Legend of Zelda (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/The Legend of Zelda.mgl,_Waian's Picks/_All Games by Console/_NES/The Legend of Zelda.mgl,4671517d72d09799403f6c672cd2b395933e926e,
NES,NES,Track & Field II,Sports,,False,NES,NES,Track & Field II (USA) (Rev 1).nes,,_Waian's Picks/_Top Games by Category/_Sports/Track & Field II (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Track & Field II.mgl,_Waian's Picks/_All Games by Console/_NES/Track & Field II.mgl,d74bcad2abb4f2184d12dc6cee734c8ea45546b3,
NES,NES,Zelda II: The Adventure of Link,Action Adventure,,False,NES,NES,Zelda II - The Adventure of Link (U) .nes,,_Waian's Picks/_Top Games by Category/_Action Adventure/Zelda II The Adventure of Link (NES).mgl,,,_Waian's Picks/_Top Games by Console/_NES/Zelda II The Adventure of Link.mgl,_Waian's Picks/_All Games by Console/_NES/Zelda II The Adventure of Link.mgl,353489a57f24a429572e76bd455bc51d821f7036,
NeoGeo-CD,Neo Geo CD,3 Count Bout,Fighting,,False,NeoGeo,NeoGeo-CD,"3 Count Bout (World) (En,Ja)/3 Count Bout (World) (En,Ja).chd","3 Count Bout (World) (En,Ja)/3 Count Bout (World) (En,Ja).m3u",_Waian's Picks/_Top Games by Category/_Fighting/3 Count Bout (Neo Geo CD).mgl,,,_Waian's Picks/_Top Games by Console/_Neo Geo CD/3 Count Bout.mgl,_Waian's Picks/_All Games by Console/_Neo Geo CD/3 Count Bout.mgl,3653dc6b0de0c4067b4b3ce1d87546d1e4d102e7,
NeoGeo-CD,Neo Geo CD,Breakers,Fighting,,False,NeoGeo,NeoGeo-CD,"Breakers (Japan) (En,Ja)/Breakers (Japan) (En,Ja).chd","Breakers (Japan) (En,Ja)/Breakers (Japan) (En,Ja).m3u",_Waian's Picks/_Top Games by Category/_Fighting/Breakers (Neo Geo CD).mgl,,,_Waian's Picks/_Top Games by Console/_Neo Geo CD/Breakers.mgl,_Waian's Picks/_All Games by Console/_Neo Geo CD/Breakers.mgl,6290c005b277afd77abe85961132f6c466b9f958,
